"","ID","aligncode","round1","target","condition","freq1","word","age","languages","partner"
"199",129,"0","1","instrumento musical","SL",0,"acordeon",20,1,"in"
"200",129,"1","1","guardarropa","SL",0,"guardarropa",20,1,"in"
"201",129,"0","1","freson","SL",0,"fresw",20,1,"in"
"202",129,NA,"1","cuchillo","SL",20,"sombrero",20,1,"in"
"203",129,"0","1","ferrocarril","SL",0,"tren",20,1,"in"
"204",129,"1","1","cabello","SL",7,"cabello",20,1,"in"
"205",129,"0","1","birra","SL",7,"cerveza",20,1,"in"
"206",129,"1","1","banana","SL",10,"banana",20,1,"in"
"207",129,"0","1","barra de labios","SL",0,"barra delabios",20,1,"in"
"208",129,"1","1","asno","SL",7,"asno",20,1,"in"
"209",129,"1","1","alfombrilla","SL",17,"alfombrilla",20,1,"in"
"210",129,"0","1","cuberteria","SL",13,"cubiertos",20,1,"in"
"211",1294,"1","1","alfombrilla","LS",17,"alfombrilla",43,1,"out"
"212",1294,"0","1","tripa","LS",7,"barriga",43,1,"out"
"213",1294,"0","1","sapo","LS",3,"rana",43,1,"out"
"214",1294,"1","1","ropa interior","LS",0,"ropa interior",43,1,"out"
"215",1294,"0","1","papa","LS",7,"patata",43,1,"out"
"216",1294,"1","1","roedor","LS",0,"roedor",43,1,"out"
"217",1294,"0","1","motocicleta","LS",0,"moto",43,1,"out"
"218",1294,"1","1","pintura","LS",0,"pintura",43,1,"out"
"219",1294,"1","1","lentes","LS",0,"lentes",43,1,"out"
"220",1294,"1","1","nino","LS",3,"nino",43,1,"out"
"221",1294,"0","1","guardarropa","LS",0,"ropero",43,1,"out"
"222",1294,"1","1","freson","LS",0,"freson",43,1,"out"
"223",1294,"0","1","cuchillo","LS",20,"navaja",43,1,"out"
"224",1294,"1","1","ferrocarril","LS",0,"ferrocarril",43,1,"out"
"225",1294,"0","1","cuberteria","LS",13,"cubiertos",43,1,"out"
"226",1294,"1","1","cabello","LS",7,"cabello",43,1,"out"
"227",1294,"1","1","birra","LS",7,"birra",43,1,"out"
"228",1294,"1","1","banana","LS",10,"banana",43,1,"out"
"229",1294,"1","1","barra de labios","LS",0,"barra de labios",43,1,"out"
"230",1294,"1","1","asno","LS",7,"asno",43,1,"out"
"231",1294,"0","1","instrumento musical","LS",0,"acordeon",43,1,"out"
"232",1295,"0","1","ferrocarril","LS",0,"tren",37,3,"out"
"233",1295,"1","1","cuberteria","LS",13,"cuberteria",37,3,"out"
"234",1295,"1","1","banana","LS",10,"banana",37,3,"out"
"235",1295,"0","1","barra de labios","LS",0,"pintalabios",37,3,"out"
"236",1295,"1","1","cabello","LS",7,"cabello",37,3,"out"
"237",1295,NA,"1","tripa","LS",7,"barriga",37,3,"out"
"238",1295,"1","1","sapo","LS",3,"sapo",37,3,"out"
"239",1295,"1","1","birra","LS",7,"birra",37,3,"out"
"240",1295,"1","1","papa","LS",7,"papa",37,3,"out"
"241",1295,"1","1","roedor","LS",0,"roedor",37,3,"out"
"242",1295,"1","1","motocicleta","LS",0,"motocicleta",37,3,"out"
