,ID,target,condition,align,reuse,freq1
606,2402,roedor,AM,0,1,0
607,2403,roedor,AM,0,1,0
608,2405,roedor,AM,0,1,0
609,2406,roedor,AM,1,1,0
610,2407,roedor,AM,0,1,0
611,2408,roedor,AM,0,0,0
612,2409,roedor,AM,1,0,0
613,2410,roedor,AM,0,1,0
614,2411,roedor,AM,1,0,0
615,2412,roedor,AM,1,0,0
616,2413,roedor,AM,1,1,0
617,2414,roedor,AM,0,1,0
618,2419,roedor,AM,0,0,0
619,2420,roedor,AM,0,0,0
620,2421,roedor,AM,0,1,0
621,2424,roedor,AM,0,1,0
622,2426,roedor,AM,0,1,0
623,2427,roedor,AM,1,0,0
624,2428,roedor,AM,0,0,0
625,2429,roedor,AM,1,0,0
626,2430,roedor,AM,0,1,0
627,2431,roedor,AM,0,1,0
628,2432,roedor,AM,0,1,0
629,2433,roedor,AM,0,1,0
630,2434,roedor,AM,0,1,0
631,2435,roedor,AM,0,1,0
632,2436,roedor,AM,0,1,0
633,2438,roedor,AM,0,1,0
634,2440,roedor,AM,1,0,0
635,2441,roedor,AM,1,1,0
636,2442,roedor,AM,1,1,0
637,2443,roedor,AM,1,0,0
638,2444,roedor,AM,0,1,0
639,2445,roedor,AM,0,1,0
640,2447,roedor,AM,0,1,0
641,2448,roedor,AM,0,1,0
642,2400,sapo,AM,1,1,10
643,2401,sapo,AM,1,1,10
644,2402,sapo,AM,0,1,10
645,2403,sapo,AM,1,1,10
646,2405,sapo,AM,1,1,10
647,2406,sapo,AM,1,1,10
648,2407,sapo,AM,1,1,10
649,2408,sapo,AM,1,1,10
650,2409,sapo,AM,1,1,10
651,2410,sapo,AM,1,1,10
652,2411,sapo,AM,1,1,10
653,2412,sapo,AM,1,1,10
654,2413,sapo,AM,1,1,10
655,2414,sapo,AM,1,0,10
656,2419,sapo,AM,0,0,10
657,2420,sapo,AM,1,1,10
658,2421,sapo,AM,1,1,10
659,2424,sapo,AM,1,0,10
660,2426,sapo,AM,1,1,10
661,2427,sapo,AM,0,1,10
662,2428,sapo,AM,0,1,10
663,2429,sapo,AM,1,1,10
664,2430,sapo,AM,1,1,10
665,2431,sapo,AM,1,1,10
666,2432,sapo,AM,1,0,10
667,2433,sapo,AM,1,1,10
668,2434,sapo,AM,1,1,10
669,2435,sapo,AM,0,1,10
670,2436,sapo,AM,1,1,10
671,2438,sapo,AM,1,1,10
672,2440,sapo,AM,1,1,10
673,2441,sapo,AM,1,1,10
674,2442,sapo,AM,1,1,10
675,2443,sapo,AM,0,1,10
676,2444,sapo,AM,1,1,10
677,2445,sapo,AM,0,1,10
678,2447,sapo,AM,1,1,10
679,2448,sapo,AM,1,1,10
680,2400,sudadera,AM,1,0,0
681,2401,sudadera,AM,1,1,0
682,2402,sudadera,AM,0,1,0
683,2403,sudadera,AM,1,1,0
684,2405,sudadera,AM,0,1,0
685,2406,sudadera,AM,1,1,0
686,2407,sudadera,AM,0,1,0
687,2408,sudadera,AM,0,1,0
688,2409,sudadera,AM,1,1,0
689,2410,sudadera,AM,0,1,0
690,2411,sudadera,AM,1,1,0
691,2412,sudadera,AM,1,1,0
692,2413,sudadera,AM,1,1,0
693,2414,sudadera,AM,0,1,0
694,2419,sudadera,AM,0,1,0
695,2420,sudadera,AM,1,1,0
696,2421,sudadera,AM,1,1,0
697,2424,sudadera,AM,0,1,0
698,2426,sudadera,AM,1,0,0
699,2427,sudadera,AM,1,1,0
700,2428,sudadera,AM,0,1,0
701,2429,sudadera,AM,1,1,0
702,2430,sudadera,AM,1,1,0
703,2431,sudadera,AM,1,0,0
704,2432,sudadera,AM,0,1,0
705,2433,sudadera,AM,1,1,0
706,2434,sudadera,AM,1,1,0
707,2435,sudadera,AM,0,1,0
708,2436,sudadera,AM,1,1,0
709,2438,sudadera,AM,0,1,0
710,2440,sudadera,AM,1,0,0
711,2441,sudadera,AM,1,0,0
712,2442,sudadera,AM,1,1,0
713,2443,sudadera,AM,1,1,0
714,2444,sudadera,AM,0,1,0
715,2445,sudadera,AM,1,0,0
716,2447,sudadera,AM,1,0,0
717,2448,sudadera,AM,0,1,0
718,2400,templo,AM,1,0,0
719,2401,templo,AM,0,1,0
720,2402,templo,AM,0,1,0
721,2403,templo,AM,1,1,0
